Stage1, Root, LT_ACTION, OPTION, 199999.99999999997, 1.0
Stage1, Root, LT_ACTION, RETRO, 149999.99999999997, 1.0
Stage1, Root, LT_EXP_ACTION, DESAL, 553388.4297520649, 1.0
Stage1, Root, LT_EXP_PERMIT_ACTION, DESAL, 1.0000000000000002, 1.0
Stage1, Root, LT_EXP_COST, DESAL, 454.78682430553, 1.0
Stage2, P1, EXP_ACTION, DESAL, 0.0, 0.1489579997998661
Stage2, P1, EXP_BOP_ACTION, DESAL, 442710.7438016258, 0.1489579997998661
Stage2, P2, EXP_ACTION, DESAL, 0.0, 0.393105000887649
Stage2, P2, EXP_BOP_ACTION, DESAL, 442710.74380159547, 0.393105000887649
Stage2, P3, EXP_ACTION, DESAL, 116211.57024794244, 0.4579369993124848
Stage2, P3, EXP_BOP_ACTION, DESAL, 535679.9999999844, 0.4579369993124848
Stage3, NoShortage_P1, EXP_VOP_ACTION, DESAL, 442710.74380162585, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_1, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_10, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_2, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_3, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_4, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_5, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_6, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_7, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_8, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, SHORT_ACTION, SHORT_9, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, ST_ACTION, OPTION, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, ST_ACTION, RESTRICT, 0.0, 0.14136114181007292
Stage3, NoShortage_P1, ST_ACTION, SPOT, 0.0, 0.14136114181007292
Stage3, S1_P1, EXP_VOP_ACTION, DESAL, 442710.74380158994, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_1, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_10, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_2, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_3, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_4, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_5, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_6, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_7, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_8, 0.0, 0.0030387431959172685
Stage3, S1_P1, SHORT_ACTION, SHORT_9, 0.0, 0.0030387431959172685
Stage3, S1_P1, ST_ACTION, OPTION, 0.0, 0.0030387431959172685
Stage3, S1_P1, ST_ACTION, RESTRICT, 0.0, 0.0030387431959172685
Stage3, S1_P1, ST_ACTION, SPOT, 0.0, 0.0030387431959172685
Stage3, S2_P1, EXP_VOP_ACTION, DESAL, 442710.74380158994, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_1, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_10, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_2, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_3, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_4, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_5, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_6, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_7, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_8, 0.0, 0.004558114793875903
Stage3, S2_P1, SHORT_ACTION, SHORT_9, 0.0, 0.004558114793875903
Stage3, S2_P1, ST_ACTION, OPTION, 0.0, 0.004558114793875903
Stage3, S2_P1, ST_ACTION, RESTRICT, 0.0, 0.004558114793875903
Stage3, S2_P1, ST_ACTION, SPOT, 0.0, 0.004558114793875903
Stage3, NoShortage_P2, EXP_VOP_ACTION, DESAL, 442710.7438015955, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_1, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_10, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_2, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_3, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_4, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_5, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_6, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_7, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_8, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, SHORT_ACTION, SHORT_9, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, ST_ACTION, OPTION, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, ST_ACTION, RESTRICT, 0.0, 0.17253378488958912
Stage3, NoShortage_P2, ST_ACTION, SPOT, 0.0, 0.17253378488958912
Stage3, S1_P2, EXP_VOP_ACTION, DESAL, 442710.74380159547, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_1, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_10, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_2, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_3, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_4, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_5, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_6, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_7, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_8, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_9, 0.0, 0.012029013027162059
Stage3, S1_P2, ST_ACTION, OPTION, 0.0, 0.012029013027162059
Stage3, S1_P2, ST_ACTION, RESTRICT, 0.0, 0.012029013027162059
Stage3, S1_P2, ST_ACTION, SPOT, 0.0, 0.012029013027162059
Stage3, S2_P2, EXP_VOP_ACTION, DESAL, 442710.74380159547, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_1, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_10, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_2, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_3, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_4, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_5, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_6, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_7, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_8, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_9, 0.0, 0.00801934201810804
Stage3, S2_P2, ST_ACTION, OPTION, 0.0, 0.00801934201810804
Stage3, S2_P2, ST_ACTION, RESTRICT, 0.0, 0.00801934201810804
Stage3, S2_P2, ST_ACTION, SPOT, 0.0, 0.00801934201810804
Stage3, S3_P2, EXP_VOP_ACTION, DESAL, 442710.74380156747, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_1, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_10, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_2, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_3, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_4, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_5, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_6, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_7, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_8, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_9, 0.0, 0.03207736807243216
Stage3, S3_P2, ST_ACTION, OPTION, 0.0, 0.03207736807243216
Stage3, S3_P2, ST_ACTION, RESTRICT, 0.0, 0.03207736807243216
Stage3, S3_P2, ST_ACTION, SPOT, 0.0, 0.03207736807243216
Stage3, S4_P2, EXP_VOP_ACTION, DESAL, 442710.74380156776, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_1, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_10, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_2, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_3, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_4, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_5, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_6, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_7, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_8, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_9, 0.0, 0.02806769706337814
Stage3, S4_P2, ST_ACTION, OPTION, 107289.2561984322, 0.02806769706337814
Stage3, S4_P2, ST_ACTION, RESTRICT, 0.0, 0.02806769706337814
Stage3, S4_P2, ST_ACTION, SPOT, 0.0, 0.02806769706337814
Stage3, S5_P2, EXP_VOP_ACTION, DESAL, 550000.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_1, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_10, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_2, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_3, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_4, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_5, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_6, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_7, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_8, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_9, 0.0, 0.06018437563589907
Stage3, S5_P2, ST_ACTION, OPTION, 200000.0, 0.06018437563589907
Stage3, S5_P2, ST_ACTION, RESTRICT, 0.0, 0.06018437563589907
Stage3, S5_P2, ST_ACTION, SPOT, 0.0, 0.06018437563589907
Stage3, S6_P2, EXP_VOP_ACTION, DESAL, 553388.4297521495, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_1, 146611.5702478505, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_10, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_2, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_3, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_4, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_5, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_6, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_7, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_8, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_9, 0.0, 0.03207736807243216
Stage3, S6_P2, ST_ACTION, OPTION, 200000.0, 0.03207736807243216
Stage3, S6_P2, ST_ACTION, RESTRICT, 0.0, 0.03207736807243216
Stage3, S6_P2, ST_ACTION, SPOT, 50000.0, 0.03207736807243216
Stage3, S7_P2, EXP_VOP_ACTION, DESAL, 553388.4297521528, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_1, 263200.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_10, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_2, 83411.57024784724, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_3, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_4, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_5, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_6, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_7, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_8, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_9, 0.0, 0.024058026054324118
Stage3, S7_P2, ST_ACTION, OPTION, 200000.0, 0.024058026054324118
Stage3, S7_P2, ST_ACTION, RESTRICT, 0.0, 0.024058026054324118
Stage3, S7_P2, ST_ACTION, SPOT, 50000.0, 0.024058026054324118
Stage3, S8_P2, EXP_VOP_ACTION, DESAL, 553388.4297521504, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_1, 263200.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_10, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_2, 263200.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_3, 20211.570247849566, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_4, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_5, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_6, 0.0, 0.024058026054324118
